"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DE-LU","04.04.2022 00:00 - 04.04.2022 00:15 (CET/CEST)","4197","12686","n/e","3790","5600","301","n/e","n/e","21","673","942","1001","30","n/e","3998","293","114","0","858","5044","17748"
"BZN|DE-LU","04.04.2022 00:15 - 04.04.2022 00:30 (CET/CEST)","4220","12758","n/e","3667","5105","293","n/e","n/e","21","476","918","1004","28","n/e","4008","293","114","0","872","4909","17792"
"BZN|DE-LU","04.04.2022 00:30 - 04.04.2022 00:45 (CET/CEST)","4186","12735","n/e","3722","4909","293","n/e","n/e","21","136","1300","993","24","n/e","4001","293","114","0","860","4977","18264"
"BZN|DE-LU","04.04.2022 00:45 - 04.04.2022 01:00 (CET/CEST)","4238","12662","n/e","3882","4870","293","n/e","n/e","21","76","2228","1008","17","n/e","4004","293","114","0","874","5042","18584"
"BZN|DE-LU","04.04.2022 01:00 - 04.04.2022 01:15 (CET/CEST)","4244","12447","n/e","3841","4874","293","n/e","n/e","21","71","1800","1014","36","n/e","4069","288","114","0","864","5144","18882"
"BZN|DE-LU","04.04.2022 01:15 - 04.04.2022 01:30 (CET/CEST)","4248","12268","n/e","3855","4625","293","n/e","n/e","21","9","1984","1008","39","n/e","4103","288","114","0","861","5252","19336"
"BZN|DE-LU","04.04.2022 01:30 - 04.04.2022 01:45 (CET/CEST)","4244","12257","n/e","3877","4492","293","n/e","n/e","21","8","2524","1005","61","n/e","4105","288","114","0","865","5335","19721"
"BZN|DE-LU","04.04.2022 01:45 - 04.04.2022 02:00 (CET/CEST)","4245","12037","n/e","3975","4490","293","n/e","n/e","21","1","3065","1004","25","n/e","4097","288","114","0","865","5293","19857"
"BZN|DE-LU","04.04.2022 02:00 - 04.04.2022 02:15 (CET/CEST)","4252","11620","n/e","3976","4580","293","n/e","n/e","21","24","3418","1002","127","n/e","4100","285","114","0","850","5262","19890"
"BZN|DE-LU","04.04.2022 02:15 - 04.04.2022 02:30 (CET/CEST)","4247","11290","n/e","3980","4688","293","n/e","n/e","21","4","3566","991","62","n/e","4103","285","114","0","866","5182","20337"
"BZN|DE-LU","04.04.2022 02:30 - 04.04.2022 02:45 (CET/CEST)","4241","11172","n/e","3982","4702","293","n/e","n/e","21","3","3883","990","66","n/e","4104","285","114","0","863","5189","20810"
"BZN|DE-LU","04.04.2022 02:45 - 04.04.2022 03:00 (CET/CEST)","4240","11034","n/e","3993","4691","293","n/e","n/e","21","0","4262","983","25","n/e","4102","285","114","0","864","5203","21360"
"BZN|DE-LU","04.04.2022 03:00 - 04.04.2022 03:15 (CET/CEST)","4234","10874","n/e","3938","4680","293","n/e","n/e","21","11","3864","991","122","n/e","4109","285","114","0","862","5099","21946"
"BZN|DE-LU","04.04.2022 03:15 - 04.04.2022 03:30 (CET/CEST)","4244","10718","n/e","3941","4672","293","n/e","n/e","21","6","3738","985","61","n/e","4109","285","114","0","865","5096","22127"
"BZN|DE-LU","04.04.2022 03:30 - 04.04.2022 03:45 (CET/CEST)","4243","10721","n/e","3925","4671","293","n/e","n/e","21","7","3706","980","51","n/e","4107","285","114","0","867","5101","22521"
"BZN|DE-LU","04.04.2022 03:45 - 04.04.2022 04:00 (CET/CEST)","4228","10454","n/e","3971","4694","293","n/e","n/e","21","7","3732","980","22","n/e","4109","288","115","0","871","5102","22930"
"BZN|DE-LU","04.04.2022 04:00 - 04.04.2022 04:15 (CET/CEST)","4231","10037","n/e","4264","4857","293","n/e","n/e","21","39","2974","981","41","n/e","4111","299","120","0","858","4790","23403"
"BZN|DE-LU","04.04.2022 04:15 - 04.04.2022 04:30 (CET/CEST)","4231","10114","n/e","4257","5038","293","n/e","n/e","21","41","3004","968","21","n/e","4109","300","121","0","857","4868","23905"
"BZN|DE-LU","04.04.2022 04:30 - 04.04.2022 04:45 (CET/CEST)","4233","10089","n/e","4277","5081","293","n/e","n/e","21","41","3022","966","26","n/e","4110","301","121","0","853","4879","24482"
"BZN|DE-LU","04.04.2022 04:45 - 04.04.2022 05:00 (CET/CEST)","4236","10228","n/e","4288","5134","293","n/e","n/e","21","42","2902","964","23","n/e","4110","312","126","0","859","4779","24924"
"BZN|DE-LU","04.04.2022 05:00 - 04.04.2022 05:15 (CET/CEST)","4238","10816","n/e","4290","5204","293","n/e","n/e","21","59","2264","963","34","n/e","4104","315","127","0","853","4729","25236"
"BZN|DE-LU","04.04.2022 05:15 - 04.04.2022 05:30 (CET/CEST)","4230","11155","n/e","4300","5156","293","n/e","n/e","21","53","1633","956","21","n/e","4106","315","127","0","847","4759","25901"
"BZN|DE-LU","04.04.2022 05:30 - 04.04.2022 05:45 (CET/CEST)","4229","11356","n/e","4327","5254","293","n/e","n/e","21","158","1068","958","32","n/e","4105","315","127","0","851","4718","26361"
